Name,Link,Headers,Text,Code,Size,Line, Line2
"Humanist: Jenson","https://use.typekit.net/ewp5xpy.css","adobe-jenson-pro","adobe-jenson-pro","Consolas",,,
"Humanist: Garamond","https://use.typekit.net/ree1epk.css","garamond-premier-pro","garamond-premier-pro","Consolas",,,
"Humanist: EB Garamond","///","EB Garamond Italic","EB Garamond","Fira Code VF",,,
"Humanist: Adobe Calson","https://use.typekit.net/laj1qje.css","adobe-caslon-pro","adobe-caslon-pro","Consolas",,,
"Humanist: Goudy Old Style","https://use.typekit.net/qge2rer.css","goudy-old-style","goudy-old-style","Consolas",,,
"Humanist: Big Calson","https://use.typekit.net/paf4fsd.css","big-caslon-fb","big-caslon-fb","Consolas",,,
"Humanist: Minion","https://use.typekit.net/aah1qic.css","minion-3","minion-3","Consolas",,,
"Humanist: Galliard","https://use.typekit.net/vgp4mmj.css","itc-galliard","itc-galliard","Consolas",,,
"Transitional: Big Moore","https://use.typekit.net/fww8wgv.css","bigmoore","bigmoore","Consolas",,,
"Transitional: Baskerville Light","https://use.typekit.net/lki4tuk.css","Baskerville-urw","Baskerville-urw","Consolas",,,
"Transitional: Mrs Eaves","https://use.typekit.net/pid4noq.css","mrs-eaves","mrs-eaves","Consolas",,,
"Transitional: Plantin Light","https://use.typekit.net/ngb6qtl.css","plantin","plantin","Consolas",,,
"Rational: Bodoni","https://use.typekit.net/iuk3auv.css","bodoni-urw","bodoni-urw","Consolas",,,
"Rational: Didot","https://use.typekit.net/orz0nog.css","linotype-didot","linotype-didot","Consolas",,,
"Rational: Filosofia","https://use.typekit.net/bep3fzz.css","filosofia","filosofia","Consolas",,,
"Contemporary: Georgia","///","Georgia","Georgia","Consolas",,,
"Contemporary: Charter","///","Charter","Charter","Consolas",,,
"Contemporary: Miller","https://use.typekit.net/lid1xby.css","Miller-text","Miller-text","Consolas",,,
"Contemporary: FF Meta","https://use.typekit.net/abi7mvo.css","ff-meta-serif-web-pro","ff-meta-serif-web-pro","Consolas",,,
"Contemporary: Skolar","https://use.typekit.net/pjy6urd.css","skolar-latin","skolar-latin","Consolas",,,
"Grotesque: Bureau Grot","https://use.typekit.net/lij3bmo.css","bureau-grot","bureau-grot","Consolas",,,
"Neo-grotesque: Source","https://fonts.googleapis.com/css?family=Source+Code+Pro:400,700|Source+Sans+Pro:400,700&display=optional","Source Sans Pro","Source Sans Pro","Source Code Pro",,,
"Neo-grotesque: IBM Plex","https://fonts.googleapis.com/css?family=IBM+Plex+Mono:400, 700|IBM+Plex+Sans:400, 700&display=optional","IBM Plex Sans","IBM Plex Sans","IBM Plex Mono",,,
"Neo-grothesque: CooperHewitt","///","CooperHewitt","CooperHewitt","Consolas",,,
"Neo-grothesque: Helvetica","///","Helvetica","Helvetica","Consolas",,,
"Geometric: Futura","https://use.typekit.net/rim0wpd.css","futura-pt","futura-pt","Consolas",,,
"Geometric: Din","https://use.typekit.net/wmy7rqy.css","urw-din","urw-din","Consolas",,,
"Humanist: Fira","https://fonts.googleapis.com/css2?family=Fira+Code:wght@400;700&family=Fira+Sans:wght@400;700&display=optional","Fira Sans","Fira Sans","Fira Code",,,
"Humanist: Meta","https://use.typekit.net/afd1zvk.css","ff-meta-web-pro","ff-meta-web-pro","Consolas",,,
"Humanist: Verdana","///","Verdana","Verdana","Lucida Sans Typewriter","15px","21px","1.5"
"Humanist: Optima","https://use.typekit.net/bnc2zpm.css","classico-urw","classico-urw","Lucida Sans Typewriter",,,
"Humanist: Avance","https://use.typekit.net/xuw8eaq.css","ff-avance-pro","ff-avance-pro","Lucida Sans Typewriter",,,
"Slab: Clarendon","https://use.typekit.net/iju3vfc.css","clarendon-urw","clarendon-urw","Lucida Sans Typewriter",,,
"Slab: Rockwell","https://use.typekit.net/bfs5gfh.css","rockwell-nova","rockwell-nova","Lucida Sans Typewriter",,,
"Slab: PMN Caecilia","https://use.typekit.net/wvv4zvb.css","caecilia","caecilia","Lucida Sans Typewriter",,,
"Slab: FF Unit Slab","https://use.typekit.net/mhn2ktn.css","unit-slab","unit-slab","Lucida Sans Typewriter",,,
"Slab: Adelle","https://use.typekit.net/qiw8szw.css","adelle","adelle","Lucida Sans Typewriter",,,
"Slab: Freight Micro","https://use.typekit.net/ixn8vbr.css","freight-micro-pro","freight-micro-pro","Lucida Sans Typewriter",,,
"Profont","///","profont-bold","profont","profont","15px","21px","1.5"
"Old Style: Cardo","///","Cardo Italic","Cardo","Fira Code VF",,,
